svc_cpu_use,svc_cpu_thr,svc_net_use,svc_disk_use,system_cpu_use,system_cpu_sat,system_net_use,svc_req_size,svc_resp_size,svc_pods,svc_req_rate,ltcy
-1.7865914259357243,-0.7820661829538464,-1.5818148808897343,-2.2001423879642172,-1.5668521928372023,-1.388484674342112,-1.9020790813901538,-1.4159004719105288,-1.0394959213771615,-1.932464747200344,-1.700920510309061,0.7
-1.810026840286081,-0.6062041157300074,-1.6312542862129236,-0.7903775781129795,-1.5661463735715162,-1.3730637757914532,-1.8670503163797132,-1.4103940842365865,-1.0352556228726932,-1.7089507523434369,-1.7063964106106855,0.6
-1.7633720200143836,-0.6062041157300074,-1.4869302707003362,-0.7994194430811438,-1.5666790788159897,-1.3665674616701275,-1.864244231219362,-1.4076905785646423,-1.0362316107664515,-1.4854367574865295,-1.6965397900677615,0.7
-1.69495248951064,-0.7820661829538464,-1.558655921512488,-1.634906019386549,-1.564624480915241,-1.3770288066906344,-1.8095466806565432,-1.3881173539979248,-1.025665392975475,-1.4854367574865295,-1.6571133078960658,0.6324555320336759
-1.69495248951064,-0.9272477888539615,-1.3911359904556133,-0.9753077974497523,-1.5629473035787258,-1.381413502480496,-1.7373727110274844,-1.3065943337589025,-0.9628832747974646,-1.4854367574865295,-1.5968784045781972,0.6708203932499369
-1.5632292079332835,-0.648557917657025,-1.2082893764490337,-0.7407573587613353,-1.5571665431263053,-1.3832205914466882,-1.6434652864937862,-1.2064644650761291,-0.8916987229606269,-1.4854367574865295,-1.5015977393299325,0.4898979485566356
-1.108168077548245,-0.2616285723240191,-1.0544508660488274,-1.245730366830264,-1.5531966907689059,-1.3837078384311232,-1.5682569733871818,-1.0832409457722028,-0.7983371123007321,-1.4854367574865295,-1.423839955046866,0.5
-1.1825428029707832,-0.40757784011262743,-1.0707847021614083,-1.6729373274067723,-1.5525366949321633,-1.3950419528998317,-1.5802167676412544,-1.1976004094316195,-0.8384795154506702,-1.932464747200344,-1.4063170740816677,0.6403124237432849
-1.3767301376776326,-0.1582626051918366,-1.2266261057634926,-0.1778323393688152,-1.5571665431263053,-1.3950419528998317,-1.6097682388681398,-1.1886901868306272,-1.33909275392003,-1.7089507523434369,-1.4282206752881654,0.648074069840786
-1.3968617410051816,-0.2971873592088874,-1.156254847012451,-0.229309120747094,-1.5574497787822075,-1.3872343798397826,-1.6270132557533095,-1.1188990509735028,-0.8297555749375102,-1.4854367574865295,-1.4282206752881654,0.6557438524302001
