svc_usage_tol,system_workload_tol,ltcy
-0.367,-0.995,0.9
-0.043,-0.315,0.728
1.33,-0.642,0.686
0.884,-0.982,0.671
-0.056,0.441,0.748
0.689,-0.119,0.762
2.275,0.541,0.762
-0.611,0.92,0.686
0.014,0.154,0.7
1.309,1.086,0.693
0.108,1.046,0.686
2.559,0.633,0.693
-0.114,1.404,0.933
1.452,-0.26,0.922
1.274,-0.034,0.781
1.183,0.403,0.933
0.724,-0.459,1.095
-0.541,-0.471,1.095
2.241,-0.02,1.162
0.477,0.416,1.0
3.813,0.558,1.0
1.527,0.288,0.831
2.513,0.55,0.794
-1.828,0.1,0.819
-2.381,0.21,0.819
0.391,-0.125,0.938
1.655,0.333,0.938
-2.169,0.547,0.721
1.361,1.681,0.825
2.015,0.564,0.889
1.456,0.649,0.995
0.003,1.258,0.98
0.154,1.579,1.136
2.267,0.368,1.136
1.912,0.802,0.877
2.035,0.77,0.9
0.091,1.174,0.9
2.924,0.48,0.98
1.753,-0.02,1.054
1.107,0.247,1.127
0.05,0.898,1.127
-0.21,0.634,1.196
2.668,0.124,1.149
2.546,0.75,0.806
0.31,1.052,0.819
3.109,-0.269,0.819
-0.924,1.503,0.812
2.719,0.029,0.98
1.361,0.713,0.98
1.09,-0.296,0.742
1.869,0.164,0.742
3.379,0.891,1.204
-0.008,-0.181,1.204
0.501,-0.153,1.153
2.281,1.918,1.153
3.114,1.606,0.933
3.046,1.51,0.943
1.608,0.255,0.812
1.936,0.984,0.9
1.779,0.244,0.854
-2.257,0.936,0.854
0.93,0.202,0.922
0.239,0.17,0.7
2.193,1.176,0.837
1.531,0.26,0.933
1.802,-0.207,1.068
2.437,1.074,0.98
2.237,1.473,0.917
1.364,0.803,0.995
1.357,1.455,0.995
0.512,2.531,0.7
2.759,0.491,0.7
2.2,0.947,0.849
1.1,1.011,0.906
3.032,1.083,0.9
3.049,1.34,0.954
4.062,1.251,0.943
3.184,1.364,0.985
3.091,1.004,0.943
1.606,1.253,0.98
1.606,1.288,1.204
-1.755,1.006,1.179
-10.808,-2.798,0.48
