name,ztime,node,value
node_load1,2020-02-27 23:00:27,192.168.228.12,6.79
node_load1,2020-02-27 23:00:12,192.168.228.12,5.68
node_load1,2020-02-27 22:59:57,192.168.228.12,6.29
node_load1,2020-02-27 22:59:27,192.168.228.12,5.07
node_load1,2020-02-27 22:59:12,192.168.228.12,4.42
node_load1,2020-02-27 22:58:57,192.168.228.12,3.64
node_load1,2020-02-27 22:58:42,192.168.228.12,4.39
node_load1,2020-02-27 22:58:12,192.168.228.12,5.64
node_load1,2020-02-27 22:57:57,192.168.228.12,6.48
node_load1,2020-02-27 22:57:42,192.168.228.12,5.94
node_load1,2020-02-27 22:57:12,192.168.228.12,6
node_load1,2020-02-27 22:56:57,192.168.228.12,5.82
node_load1,2020-02-27 22:56:42,192.168.228.12,7.03
node_load1,2020-02-27 22:56:27,192.168.228.12,5.46
node_load1,2020-02-27 22:56:12,192.168.228.12,5.95
node_load1,2020-02-27 22:55:57,192.168.228.12,7.39
node_load1,2020-02-27 22:55:42,192.168.228.12,8.44
node_load1,2020-02-27 22:55:27,192.168.228.12,6.7
node_load1,2020-02-27 22:55:12,192.168.228.12,7.59
node_load1,2020-02-27 22:54:57,192.168.228.12,7.36
node_load1,2020-02-27 22:54:42,192.168.228.12,7.31
node_load1,2020-02-27 22:54:27,192.168.228.12,8.06
node_load1,2020-02-27 22:54:12,192.168.228.12,7.59
node_load1,2020-02-27 22:53:57,192.168.228.12,7.46
node_load1,2020-02-27 22:53:42,192.168.228.12,7.17
node_load1,2020-02-27 22:53:27,192.168.228.12,6.88
node_load1,2020-02-27 22:53:12,192.168.228.12,5.94
node_load1,2020-02-27 22:52:57,192.168.228.12,6.38
node_load1,2020-02-27 22:52:42,192.168.228.12,4.27
node_load1,2020-02-27 22:52:27,192.168.228.12,4.43
node_load1,2020-02-27 22:52:12,192.168.228.12,4.56
node_load1,2020-02-27 22:51:57,192.168.228.12,4.69
node_load1,2020-02-27 22:51:42,192.168.228.12,4.78
node_load1,2020-02-27 22:51:27,192.168.228.12,5.95
node_load1,2020-02-27 22:51:12,192.168.228.12,4.46
node_load1,2020-02-27 22:50:57,192.168.228.12,5.19
node_load1,2020-02-27 22:50:42,192.168.228.12,5.64
node_load1,2020-02-27 22:50:12,192.168.228.12,3.79
node_load1,2020-02-27 22:49:57,192.168.228.12,4.27
node_load1,2020-02-27 22:49:42,192.168.228.12,4.97
node_load1,2020-02-27 22:49:27,192.168.228.12,4.23
node_load1,2020-02-27 22:49:12,192.168.228.12,3.95
node_load1,2020-02-27 22:48:57,192.168.228.12,3.96
node_load1,2020-02-27 22:48:42,192.168.228.12,4.46
node_load1,2020-02-27 22:48:27,192.168.228.12,3.98
node_load1,2020-02-27 22:48:12,192.168.228.12,3.72
node_load1,2020-02-27 22:47:57,192.168.228.12,4.26
node_load1,2020-02-27 22:47:42,192.168.228.12,4.25
node_load1,2020-02-27 22:47:27,192.168.228.12,5.46
node_load1,2020-02-27 22:47:12,192.168.228.12,5.32
node_load1,2020-02-27 22:46:57,192.168.228.12,4.45
node_load1,2020-02-27 22:46:42,192.168.228.12,5.54
node_load1,2020-02-27 22:46:12,192.168.228.12,4.58
node_load1,2020-02-27 22:45:57,192.168.228.12,5.68
node_load1,2020-02-27 22:45:42,192.168.228.12,4.7
node_load1,2020-02-27 22:45:27,192.168.228.12,5.29
node_load1,2020-02-27 22:44:57,192.168.228.12,3.73
